Academic year,semester,School Name,country,school,Number of people
,,,,,
101,1,國立政治大學,大陸地區,上海交通大學,1
101,1,國立政治大學,日本,佐賀大學,1
101,1,國立政治大學,英國,倫敦大學,1
101,1,國立政治大學,德意志聯邦共和國,慕尼黑大學,1
101,1,國立政治大學,大陸地區,廈門大學,1
101,1,國立政治大學,大韓民國(南韓),釜山大學,1
101,1,國立政治大學,加拿大,蒙特婁商學院,1
101,1,國立政治大學,土耳其共和國,安卡拉大學,7
101,1,國立政治大學,土耳其共和國,畢爾坎特大學,1
101,1,國立政治大學,大韓民國(南韓),翰林大學,1
101,1,國立政治大學,日本,長崎大學,1
101,1,國立政治大學,法國,里爾天主教大學,1
101,1,國立政治大學,美國,史丹福大學,1
101,1,國立政治大學,大陸地區,中國人民大學,1
101,1,國立政治大學,日本,一橋大學,1
101,1,國立政治大學,日本,中央大學,1
101,1,國立政治大學,日本,立教大學,2
101,1,國立政治大學,日本,杏林大學,1
101,1,國立政治大學,日本,長崎大學,1
101,1,國立政治大學,日本,青山學院大學,2
101,1,國立政治大學,日本,宮崎大學,2
101,1,國立政治大學,日本,筑波大學,2
101,1,國立政治大學,日本,慶應義塾大學,1
101,1,國立政治大學,日本,關西學院大學,1
101,1,國立政治大學,美國,史丹福大學,2
101,1,國立政治大學,沙烏地阿拉伯王國,伊瑪目穆罕默德大學,1
101,1,國立政治大學,科威特,科威特大學,8
101,1,國立政治大學,突尼西亞共和國,布爾吉巴現代語言學院,2
101,1,國立政治大學,約旦哈什米王國,約旦大學,3
101,1,國立政治大學,美國,威斯康辛大學麥迪遜分校,1
101,1,國立政治大學,埃及阿拉伯共和國,亞歷山大大學,1
101,1,國立政治大學,埃及阿拉伯共和國,坦塔大學,8
101,1,國立政治大學,埃及阿拉伯共和國,富吉爾語言中心,1
101,1,國立政治大學,大陸地區,北京大學,1
101,1,國立政治大學,大韓民國(南韓),東亞大學,1
101,1,國立政治大學,法國,特魯瓦高等商學院,1
101,1,國立政治大學,芬蘭共和國,土庫大學,1
101,1,國立政治大學,俄羅斯聯邦,烏拉爾聯邦大學,1
101,1,國立政治大學,香港,香港城市大學,1
101,1,國立政治大學,荷蘭王國,鹿特丹管理學院,1
101,1,國立政治大學,瑞典王國,林奈大學,1
101,1,國立政治大學,德意志聯邦共和國,奧格斯堡大學,1
101,1,國立政治大學,德意志聯邦共和國,維爾茨堡大學,1
101,1,國立政治大學,德意志聯邦共和國,慕尼黑大學,1
101,1,國立政治大學,大陸地區,中國人民大學,1
101,1,國立政治大學,大陸地區,吉林大學,1
101,1,國立政治大學,俄羅斯聯邦,烏拉爾聯邦大學,7
101,1,國立政治大學,俄羅斯聯邦,國立喀山大學,1
101,1,國立政治大學,俄羅斯聯邦,莫斯科大學,5
101,1,國立政治大學,俄羅斯聯邦,莫斯科市立師範大學,1
101,1,國立政治大學,俄羅斯聯邦,莫斯科語言大學,1
101,1,國立政治大學,俄羅斯聯邦,聖彼得堡財經大學,1
101,1,國立政治大學,捷克共和國,馬薩里克大學,1
101,1,國立政治大學,大韓民國(南韓),梨花女子大學,1
101,1,國立政治大學,厄瓜多共和國,太平洋大學,2
101,1,國立政治大學,加拿大,魁北克大學蒙特婁分校,1
101,1,國立政治大學,西班牙王國,哈恩大學,1
101,1,國立政治大學,西班牙王國,馬德里卡洛斯三世大學,1
101,1,國立政治大學,西班牙王國,奧維多大學,2
101,1,國立政治大學,法國,里昂第二大學,2
101,1,國立政治大學,法國,里爾政治學院,1
101,1,國立政治大學,法國,柏根蒂大學,1
101,1,國立政治大學,法國,特魯瓦高等商學院,1
101,1,國立政治大學,法國,索邦巴黎第一大學,2
101,1,國立政治大學,法國,荷榭大學,1
101,1,國立政治大學,法國,雷恩第二大學,1
101,1,國立政治大學,法國,魯昂商學院,1
101,1,國立政治大學,智利,智利發展大學,2
101,1,國立政治大學,德意志聯邦共和國,波昂大學,2
